country,HappiestCountriesWorldHappinessReportRankings2024,HappiestCountriesWorldHappinessReportScore2024
Finland,1,7.74
Denmark,2,7.58
Iceland,3,7.53
Sweden,4,7.34
Israel,5,7.34
Netherlands,6,7.32
Norway,7,7.3
Luxembourg,8,7.12
Switzerland,9,7.06
Australia,10,7.06
New Zealand,11,7.03
Costa Rica,12,6.96
Kuwait,13,6.95
Austria,14,6.91
Canada,15,6.9
Belgium,16,6.89
Ireland,17,6.84
Czech Republic,18,6.82
Lithuania,19,6.82
United Kingdom,20,6.75
Slovenia,21,6.74
United Arab Emirates,22,6.73
United States,23,6.73
Germany,24,6.72
Mexico,25,6.68
Uruguay,26,6.61
France,27,6.61
Saudi Arabia,28,6.59
Singapore,30,6.52
Taiwan,31,6.5
Romania,32,6.49
El Salvador,33,6.47
Estonia,34,6.45
Poland,35,6.44
Spain,36,6.42
Serbia,37,6.41
Chile,38,6.36
Panama,39,6.36
Malta,40,6.35
Italy,41,6.32
Guatemala,42,6.29
Nicaragua,43,6.28
Brazil,44,6.27
Slovakia,45,6.26
Latvia,46,6.23
Uzbekistan,47,6.2
Argentina,48,6.19
Kazakhstan,49,6.19
Cyprus,50,6.07
Japan,51,6.06
South Korea,52,6.06
Philippines,53,6.05
Vietnam,54,6.04
Portugal,55,6.03
Hungary,56,6.02
Paraguay,57,5.98
Thailand,58,5.98
Malaysia,59,5.98
China,60,5.97
Honduras,61,5.97
Bahrain,62,5.96
Croatia,63,5.94
Greece,64,5.93
Bosnia and Herzegovina,65,5.88
Libya,66,5.87
Jamaica,67,5.84
Peru,68,5.84
Dominican Republic,69,5.82
Mauritius,70,5.82
Moldova,71,5.82
Russia,72,5.79
Bolivia,73,5.78
Ecuador,74,5.73
Montenegro,75,5.71
Mongolia,77,5.7
Colombia,78,5.7
Venezuela,79,5.61
Indonesia,80,5.57
Bulgaria,81,5.46
Armenia,82,5.46
South Africa,83,5.42
North Macedonia,84,5.37
Algeria,85,5.36
Hong Kong,86,5.32
Albania,87,5.3
Tajikistan,88,5.28
Republic of the Congo,89,5.22
Mozambique,90,5.22
Georgia,91,5.19
Iraq,92,5.17
Nepal,93,5.16
Laos,94,5.14
Gabon,95,5.11
Ivory Coast,96,5.08
Guinea,97,5.02
Turkey,98,4.98
Senegal,99,4.97
Iran,100,4.92
Azerbaijan,101,4.89
Nigeria,102,4.88
Palestine,103,4.88
Cameroon,104,4.87
Ukraine,105,4.87
Namibia,106,4.83
Morocco,107,4.8
Pakistan,108,4.66
Niger,109,4.56
Burkina Faso,110,4.55
Mauritania,111,4.51
Gambia,112,4.49
Chad,113,4.47
Kenya,114,4.47
Tunisia,115,4.42
Benin,116,4.38
Uganda,117,4.37
Myanmar,118,4.35
Cambodia,119,4.34
Ghana,120,4.29
Liberia,121,4.27
Mali,122,4.23
Madagascar,123,4.23
Togo,124,4.21
Jordan,125,4.19
India,126,4.05
Egypt,127,3.98
Sri Lanka,128,3.9
Bangladesh,129,3.89
Ethiopia,130,3.86
Tanzania,131,3.78
Comoros,132,3.57
Yemen,133,3.56
Zambia,134,3.5
Eswatini,135,3.5
Malawi,136,3.42
Botswana,137,3.38
Zimbabwe,138,3.34
DR Congo,139,3.3
Sierra Leone,140,3.25
Lesotho,141,3.19
Lebanon,142,2.71
Afghanistan,143,1.72
Turkmenistan,No Data,No Data
Rwanda,No Data,No Data
Kyrgyzstan,No Data,No Data
Belarus,No Data,No Data
